Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
3648	0,002417	0,000173	0,000348	0,000687	0,000076	0,003708	0,000005			
3672	0,002216	0,000166	0,000304	0,000690	0,000076	0,003458	0,000005			
3696	0,002163	0,000170	0,000293	0,000695	0,000077	0,003406	0,000005			
3720	0,001990	0,000168	0,000232	0,000703	0,000077	0,003177	0,000005			
3744	0,001908	0,000146	0,000247	0,000714	0,000077	0,003099	0,000005			
3768	0,002796	0,000163	0,000415	0,000714	0,000079	0,004174	0,000005			
3792	0,003130	0,000164	0,000477	0,000733	0,000080	0,004591	0,000005			
3816	0,003063	0,000169	0,000487	0,000734	0,000080	0,004540	0,000005			
3840	0,001668	0,000183	0,000203	0,000737	0,000079	0,002877	0,000005			
3864	0,002914	0,000171	0,000442	0,000752	0,000081	0,004366	0,000005			
3888	0,002869	0,000170	0,000432	0,000748	0,000080	0,004306	0,000005			
3912	0,001888	0,000169	0,000256	0,000754	0,000081	0,003156	0,000005			
3936	0,001834	0,000173	0,000215	0,000767	0,000082	0,003077	0,000005			
3960	0,003082	0,000164	0,000475	0,000767	0,000082	0,004576	0,000005			
3984	0,002203	0,000154	0,000311	0,000772	0,000083	0,003530	0,000005			
4008	0,001967	0,000150	0,000273	0,000785	0,000083	0,003266	0,000005			
4032	0,003083	0,000165	0,000472	0,000786	0,000084	0,004597	0,000005			
4056	0,001656	0,000173	0,000199	0,000801	0,000085	0,002922	0,000005			
4080	0,003093	0,000165	0,000478	0,000800	0,000085	0,004627	0,000005			
4104	0,002269	0,000166	0,000312	0,000805	0,000086	0,003645	0,000008			
4128	0,001859	0,000155	0,000249	0,000821	0,000087	0,003179	0,000008			
4152	0,001908	0,000154	0,000214	0,000819	0,000086	0,003189	0,000008			
4176	0,003026	0,000165	0,000457	0,000832	0,000087	0,004575	0,000008			
4200	0,002290	0,000153	0,000321	0,000840	0,000088	0,003700	0,000008			
4224	0,002209	0,000158	0,000296	0,000848	0,000089	0,003607	0,000008			
4248	0,003048	0,000165	0,000457	0,000846	0,000089	0,004612	0,000008			
4272	0,003132	0,000165	0,000476	0,000860	0,000089	0,004728	0,000008			
4296	0,003124	0,000165	0,000474	0,000861	0,000089	0,004720	0,000008			
4320	0,002939	0,000166	0,000433	0,000880	0,000091	0,004516	0,000009			
4344	0,002098	0,000179	0,000269	0,000879	0,000090	0,003523	0,000008			
4368	0,003129	0,000165	0,000478	0,000884	0,000091	0,004754	0,000008			
4392	0,003043	0,000172	0,000459	0,000889	0,000091	0,004660	0,000008			
4416	0,002659	0,000179	0,000375	0,000903	0,000093	0,004216	0,000008			
4440	0,003139	0,000164	0,000485	0,000904	0,000093	0,004792	0,000008			
4464	0,001915	0,000157	0,000219	0,000911	0,000093	0,003302	0,000008			
4488	0,003116	0,000166	0,000470	0,000916	0,000094	0,004769	0,000008			
4512	0,002635	0,000169	0,000374	0,000931	0,000094	0,004210	0,000009			
4536	0,002865	0,000176	0,000421	0,000933	0,000095	0,004497	0,000008			
4560	0,003052	0,000166	0,000455	0,000945	0,000097	0,004721	0,000009			
4584	0,001946	0,000204	0,000222	0,000948	0,000096	0,003424	0,000009			
4608	0,002226	0,000145	0,000309	0,000957	0,000096	0,003740	0,000009			
4632	0,002285	0,000168	0,000306	0,000960	0,000097	0,003823	0,000008			
4656	0,003437	0,000169	0,000507	0,001052	0,000106	0,005279	0,000010			
4680	0,003196	0,000165	0,000475	0,000999	0,000101	0,004944	0,000009			
4704	0,001950	0,000158	0,000243	0,001001	0,000099	0,003458	0,000009			
4728	0,002853	0,000160	0,000421	0,001016	0,000102	0,004559	0,000009			
4752	0,002188	0,000170	0,000298	0,001018	0,000102	0,003784	0,000009			
4776	0,003141	0,000165	0,000488	0,001009	0,000100	0,004912	0,000009			
4800	0,001764	0,000181	0,000219	0,001018	0,000101	0,003291	0,000009			
4824	0,002400	0,000189	0,000326	0,001023	0,000102	0,004047	0,000009			
4848	0,002585	0,000169	0,000369	0,001035	0,000103	0,004267	0,000009			
4872	0,003181	0,000168	0,000482	0,001044	0,000102	0,004985	0,000009			
4896	0,001816	0,000176	0,000227	0,001041	0,000104	0,003371	0,000009			
4920	0,003152	0,000165	0,000472	0,001057	0,000103	0,004957	0,000009			
4944	0,002905	0,000164	0,000419	0,001065	0,000104	0,004664	0,000009			
4968	0,002117	0,000164	0,000287	0,001075	0,000105	0,003755	0,000009			
4992	0,003180	0,000168	0,000481	0,001091	0,000107	0,005036	0,000009			
5016	0,003182	0,000165	0,000481	0,001082	0,000107	0,005024	0,000009			
5040	0,002255	0,000154	0,000306	0,001086	0,000106	0,003915	0,000009			
5064	0,002076	0,000153	0,000268	0,001095	0,000108	0,003707	0,000009			
5088	0,003190	0,000165	0,000477	0,001107	0,000107	0,005053	0,000009			
5112	0,001772	0,000144	0,000232	0,001122	0,000109	0,003386	0,000008			
5136	0,003074	0,000173	0,000458	0,001127	0,000108	0,004947	0,000009			
5160	0,002854	0,000176	0,000403	0,001131	0,000110	0,004682	0,000009			
5184	0,003003	0,000167	0,000437	0,001140	0,000111	0,004865	0,000009			
5208	0,002036	0,000137	0,000250	0,001149	0,000111	0,003691	0,000009			
5232	0,001901	0,000164	0,000212	0,001159	0,000112	0,003556	0,000009			
5256	0,002673	0,000169	0,000383	0,001163	0,000112	0,004509	0,000009			
5280	0,002621	0,000182	0,000350	0,001175	0,000112	0,004448	0,000009			
5304	0,003148	0,000169	0,000470	0,001190	0,000113	0,005098	0,000010			
5328	0,003233	0,000166	0,000477	0,001184	0,000114	0,005182	0,000009			
5352	0,003060	0,000167	0,000447	0,001191	0,000114	0,004986	0,000009			
5376	0,003193	0,000165	0,000474	0,001207	0,000114	0,005160	0,000009			
5400	0,003056	0,000163	0,000445	0,001211	0,000115	0,004996	0,000009			
5424	0,001996	0,000143	0,000257	0,001219	0,000115	0,003737	0,000009			
5448	0,001840	0,000155	0,000209	0,001229	0,000116	0,003555	0,000009			
5472	0,002337	0,000157	0,000321	0,001231	0,000116	0,004169	0,000009			
5496	0,003226	0,000165	0,000477	0,001245	0,000118	0,005238	0,000010			
5520	0,003212	0,000165	0,000470	0,001252	0,000118	0,005224	0,000010			
5544	0,003252	0,000169	0,000484	0,001268	0,000120	0,005300	0,000010			
5568	0,002994	0,000166	0,000433	0,001263	0,000119	0,004983	0,000009			
5592	0,002939	0,000167	0,000431	0,001273	0,000119	0,004938	0,000009			
5616	0,002091	0,000152	0,000278	0,001285	0,000120	0,003935	0,000009			
5640	0,003236	0,000165	0,000482	0,001295	0,000121	0,005305	0,000009			
5664	0,001907	0,000171	0,000236	0,001294	0,000121	0,003737	0,000009			
5688	0,002700	0,000156	0,000378	0,001308	0,000122	0,004670	0,000009			
5712	0,002436	0,000160	0,000325	0,001324	0,000122	0,004373	0,000009			
5736	0,003220	0,000165	0,000471	0,001323	0,000123	0,005309	0,000010			
5760	0,002003	0,000192	0,000237	0,001341	0,000125	0,003906	0,000009			
5784	0,003087	0,000170	0,000450	0,001342	0,000124	0,005180	0,000010			
5808	0,002299	0,000176	0,000314	0,001352	0,000126	0,004275	0,000010			
5832	0,003141	0,000166	0,000460	0,001360	0,000125	0,005259	0,000010			
5856	0,001858	0,000138	0,000248	0,001370	0,000127	0,003749	0,000009			
5880	0,002141	0,000196	0,000266	0,001376	0,000127	0,004114	0,000010			
5904	0,003014	0,000169	0,000426	0,001392	0,000128	0,005136	0,000010			
5928	0,002376	0,000185	0,000299	0,001397	0,000127	0,004391	0,000010			
5952	0,002112	0,000146	0,000267	0,001404	0,000129	0,004065	0,000010			
5976	0,003205	0,000166	0,000465	0,001406	0,000128	0,005377	0,000010			
