Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
7920	0,003182	0,000326	0,000199	0,002326	0,000195	0,006235	0,000013			
7944	0,002722	0,000301	0,000189	0,002366	0,000195	0,005781	0,000013			
7968	0,003359	0,000332	0,000211	0,002455	0,000206	0,006571	0,000014			
7992	0,003278	0,000409	0,000203	0,002422	0,000197	0,006517	0,000014			
8016	0,001813	0,000270	0,000171	0,002383	0,000200	0,004844	0,000012			
8040	0,002858	0,000377	0,000198	0,002362	0,000207	0,006010	0,000013			
8064	0,003367	0,000419	0,000204	0,002364	0,000197	0,006559	0,000013			
8088	0,003317	0,000309	0,000200	0,002414	0,000204	0,006451	0,000013			
8112	0,001609	0,000264	0,000165	0,002426	0,000205	0,004677	0,000013			
8136	0,002095	0,000252	0,000175	0,002450	0,000207	0,005186	0,000013			
8160	0,002547	0,000290	0,000186	0,002486	0,000206	0,005724	0,000013			
8184	0,002153	0,000268	0,000184	0,002593	0,000216	0,005421	0,000014			
8208	0,003385	0,000317	0,000207	0,002569	0,000216	0,006703	0,000026			
8232	0,002165	0,000288	0,000188	0,002604	0,000215	0,005466	0,000026			
8256	0,002441	0,000288	0,000192	0,002549	0,000216	0,005694	0,000025			
8280	0,003237	0,000310	0,000206	0,002556	0,000217	0,006533	0,000027			
8304	0,001893	0,000255	0,000175	0,002527	0,000211	0,005070	0,000025			
8328	0,001792	0,000240	0,000172	0,002516	0,000203	0,004931	0,000025			
8352	0,003332	0,000318	0,000205	0,002528	0,000210	0,006601	0,000025			
8376	0,002431	0,000288	0,000184	0,002575	0,000214	0,005700	0,000026			
8400	0,003213	0,000309	0,000194	0,002593	0,000212	0,006528	0,000025			
8424	0,003221	0,000312	0,000196	0,002557	0,000211	0,006504	0,000025			
8448	0,003205	0,000316	0,000202	0,002571	0,000212	0,006514	0,000025			
8472	0,002680	0,000295	0,000190	0,002518	0,000207	0,005897	0,000024			
8496	0,003310	0,000316	0,000199	0,002527	0,000208	0,006568	0,000023			
8520	0,001945	0,000301	0,000183	0,002516	0,000215	0,005168	0,000024			
